engine,policy,terrain,case,seed,outcome,failure_flags,completed,physical_traversal,unsafe_reasons,unsafe_time_s,hard_joint_margin_min_rad,wheel_speed_max_rad_s,wheel_saturation_max_fraction
Isaac,19999,flat,precision_vy_-0.10,7205,tracking_failure,tracking_failure,True,,,,0.8219374418258667,7.994578838348389,0.0
Isaac,19999,flat,precision_vy_-0.10,7206,tracking_failure,tracking_failure,True,,,,0.8336355686187744,7.31012487411499,0.0
Isaac,19999,flat,precision_vy_-0.10,7207,tracking_failure,tracking_failure,True,,,,0.8247561454772949,9.545064926147461,0.0
Isaac,19999,flat,precision_vy_-0.10,7208,tracking_failure,tracking_failure,True,,,,0.8249572515487671,7.8101091384887695,0.0
Isaac,19999,flat,precision_vy_-0.10,7209,tracking_failure,tracking_failure,True,,,,0.8224068284034729,7.47159481048584,0.0
Isaac,19999,flat,precision_vy_-0.10,7210,tracking_failure,tracking_failure,True,,,,0.8305537104606628,5.915928363800049,0.0
Isaac,19999,flat,precision_vy_-0.10,7211,tracking_failure,tracking_failure,True,,,,0.826285719871521,9.865346908569336,0.0
Isaac,19999,flat,precision_vy_-0.10,7212,tracking_failure,tracking_failure,True,,,,0.8307604789733887,6.630342960357666,0.0
Isaac,19999,flat,precision_vy_-0.10,7213,tracking_failure,tracking_failure,True,,,,0.8253843784332275,8.176071166992188,0.0
Isaac,19999,flat,precision_vy_-0.10,7214,tracking_failure,tracking_failure,True,,,,0.8267457485198975,8.533358573913574,0.0
Isaac,19999,flat,precision_vy_-0.10,7215,tracking_failure,tracking_failure,True,,,,0.8309377431869507,7.218381404876709,0.0
Isaac,19999,flat,precision_vy_-0.10,7216,tracking_failure,tracking_failure,True,,,,0.8323239684104919,7.99412727355957,0.0
Isaac,19999,flat,precision_vy_+0.10,7201,tracking_failure,tracking_failure,True,,,,0.8181241154670715,9.050861358642578,0.0
Isaac,19999,flat,precision_vy_+0.10,7202,tracking_failure,tracking_failure,True,,,,0.8058214783668518,8.781846046447754,0.0
Isaac,19999,flat,precision_vy_+0.10,7203,tracking_failure,tracking_failure,True,,,,0.8260906338691711,7.968195915222168,0.0
